match_id,player_id,average,average_last4,dismissal_rate,dismissal_rate_last4,av_n,dr_n
15448,7501,38.09090909090909,31.25,,,12.0,0.0
9226,7511,19.16216216216216,34.25,,,21.0,1.0
14701,7577,,,,,1.0,0.0
14701,7578,15.68,23.0,,,17.0,1.0
14701,7579,18.892857142857142,30.8,60.0,60.0,15.0,1.0
14701,7580,55.0,55.0,,,4.0,0.0
14701,7581,29.5,39.5,,,9.0,0.0
14701,7582,,,,,1.0,0.0
14701,7583,,,,,1.0,0.0
14701,7584,26.0,13.666666666666666,,,15.0,0.0
14701,7585,34.77777777777778,37.75,31.0,31.0,9.0,1.0
14701,7586,20.043478260869566,31.5,32.0,32.0,29.0,1.0
14701,7587,20.571428571428573,15.0,,,17.0,1.0
14701,7633,8.0,8.0,15.25,15.25,2.0,1.0
14701,7634,20.242424242424242,12.875,60.0,60.0,22.0,1.0
14701,7635,,,,,0.0,0.0
14701,7636,28.647058823529413,37.5,,,18.0,0.0
14701,7637,34.53333333333333,37.0,,,18.0,1.0
14701,7638,44.0,36.0,,,11.0,0.0
14701,7639,20.90625,56.5,,,18.0,1.0
14701,7641,18.31578947368421,16.0,18.333333333333332,18.333333333333332,13.0,1.0
14701,7642,26.416666666666668,23.0,,,10.0,0.0
14701,7643,,,,,1.0,0.0
13583,7807,27.0,27.0,,,1.0,0.0
9226,7834,40.5,29.4,37.0,37.0,11.0,1.0
14701,7914,46.625,86.0,65.0,65.0,9.0,1.0
17148,8101,32.833333333333336,110.0,59.0,59.0,7.0,1.0
9226,8173,,,,,1.0,0.0
17148,8297,22.82608695652174,48.0,,,18.0,1.0
17148,8299,22.93548387096774,25.5,20.0,20.0,21.0,1.0
17148,8300,25.32,18.0,,,19.0,1.0
17148,8302,17.642857142857142,20.8,62.0,62.0,15.0,1.0
17148,8303,30.384615384615383,13.166666666666666,,,15.0,0.0
17148,8305,,,,,0.0,0.0
15448,8314,39.0,31.25,14.0,14.0,15.0,1.0
15448,8315,19.162790697674417,14.833333333333334,75.0,75.0,21.0,2.0
15448,8316,,,,,0.0,0.0
15448,8317,16.15,23.5,96.0,96.0,21.0,2.0
15448,8319,,,,,0.0,0.0
17148,8322,,,,,1.0,0.0
17148,8324,25.5,25.5,,,5.0,0.0
17148,8326,33.1875,28.5,32.0,32.0,20.0,1.0
17148,8327,56.333333333333336,,,,9.0,0.0
17148,8328,23.142857142857142,44.0,52.0,52.0,17.0,1.0
17148,8330,42.166666666666664,51.0,,,10.0,0.0
17148,8331,19.235294117647058,18.6,30.5,30.5,19.0,1.0
17148,8332,21.61764705882353,9.8,11.25,11.25,25.0,1.0
13583,8385,26.125,23.0,19.0,19.0,20.0,1.0
13583,8386,,,,,0.0,0.0
11172,8540,19.522727272727273,8.0,10.333333333333334,10.333333333333334,28.0,1.0
11172,9093,18.0,19.25,,,12.0,0.0
11172,9244,17.125,13.857142857142858,22.5,22.5,9.0,1.0
11172,9245,15.404761904761905,9.0,15.5,15.5,25.0,1.0
11172,9246,17.757575757575758,21.4,48.0,48.0,20.0,1.0
11172,9247,,,,,1.0,0.0
9226,9260,37.0625,71.5,87.0,87.0,19.0,2.0
9226,9267,,,,,0.0,0.0
11172,9275,57.666666666666664,37.0,29.0,29.0,5.0,1.0
15448,9338,44.94736842105263,24.166666666666668,30.666666666666668,30.666666666666668,23.0,2.0
15448,9339,54.714285714285715,40.5,,,20.0,0.0
15448,9340,23.0,31.6,30.0,30.0,25.0,2.0
7990,9367,14.344262295081966,11.875,18.333333333333332,18.333333333333332,28.0,2.0
7990,9368,14.547619047619047,15.333333333333334,34.333333333333336,34.333333333333336,26.0,2.0
7990,9369,25.0,25.0,,,1.0,0.0
7990,9370,23.105263157894736,60.5,,,23.0,1.0
7990,9371,,,,,1.0,0.0
7990,9373,,,,,0.0,0.0
7990,9392,49.75,36.333333333333336,,,9.0,0.0
7990,9394,13.673913043478262,12.125,18.5,18.5,27.0,2.0
7990,9395,16.75,16.75,16.25,16.25,2.0,1.0
7990,9397,14.604651162790697,21.75,47.0,47.0,21.0,2.0
15448,9442,,,,,0.0,0.0
15448,9444,31.0,31.0,67.0,67.0,2.0,2.0
15448,9445,10.5,10.5,19.75,19.75,2.0,2.0
17148,10274,,,,,1.0,0.0
11172,10623,,,,,0.0,0.0
7990,11433,6.875,6.875,,,3.0,0.0
17148,11436,22.5,22.5,,,1.0,0.0
15448,11976,21.333333333333332,21.333333333333332,41.0,41.0,2.0,2.0
15448,12881,22.75,17.833333333333332,,,7.0,0.0
15448,13696,26.095238095238095,27.428571428571427,,,13.0,1.0
17148,16715,,,,,0.0,0.0
15448,16717,1.2,1.2,7.2,7.2,1.0,1.0
15448,16718,22.0,22.0,27.0,27.0,2.0,2.0
15448,16719,,,,,1.0,1.0
17148,16725,23.142857142857142,29.666666666666668,,,13.0,0.0
17148,16726,36.333333333333336,94.0,,,5.0,0.0
17148,16729,,,,,1.0,1.0
11172,16858,18.46153846153846,28.5,,,14.0,1.0
17148,18899,14.0,14.0,42.0,42.0,1.0,1.0
15448,19966,,,,,0.0,0.0
15448,20597,12.0,12.0,28.333333333333332,28.333333333333332,2.0,2.0
16989,6745,16.333333333333332,13.428571428571429,10.0,10.0,20.0,1.0
16989,6747,33.0,33.0,20.0,20.0,1.0,1.0
16989,7588,31.333333333333332,18.2,,,8.0,0.0
16989,7591,54.0,25.0,,,11.0,0.0
16989,7592,15.875,17.333333333333332,,,5.0,0.0
16989,7593,7.0,7.0,,,2.0,0.0
16989,7594,19.17391304347826,17.4,18.0,18.0,18.0,1.0
16989,7596,28.142857142857142,22.714285714285715,6.0,6.0,28.0,1.0
16989,7597,19.526315789473685,42.0,32.0,32.0,36.0,1.0
16989,7932,93.0,93.0,,,3.0,0.0
16989,8125,25.428571428571427,25.2,,,21.0,1.0
16989,8322,,,,,1.0,0.0
16989,8324,25.5,25.5,,,5.0,0.0
16989,8327,56.333333333333336,,,,9.0,0.0
16989,8328,23.80952380952381,42.333333333333336,62.0,62.0,18.0,2.0
16989,8330,32.875,37.5,9.0,9.0,11.0,1.0
16989,9434,1.6666666666666667,1.6666666666666667,4.0,4.0,1.0,1.0
16989,11067,27.0,73.0,,,15.0,0.0
16989,11436,17.5,17.5,12.0,12.0,2.0,1.0
16989,11932,25.75,27.8,19.0,19.0,16.0,1.0
16989,13176,,,,,2.0,0.0
16989,16715,,,,,0.0,0.0
1571,1480,,,,,1.0,0.0
3317,2044,35.0,35.0,67.0,67.0,1.0,1.0
7991,2051,,,,,1.0,0.0
3317,2688,31.75,14.833333333333334,12.4,12.4,13.0,1.0
3317,2910,14.76923076923077,17.5,,,10.0,0.0
9934,3238,,,,,0.0,0.0
9934,3243,28.925925925925927,39.0,,,19.0,1.0
3317,3560,22.4,25.8,,,13.0,1.0
10215,3741,,,,,0.0,0.0
10215,3745,30.0,30.0,,,1.0,0.0
7991,3768,,,,,1.0,0.0
3797,3779,22.6,21.6,14.333333333333334,14.333333333333334,20.0,1.0
3797,3782,28.0,28.0,,,2.0,0.0
11237,4629,16.88135593220339,7.7894736842105265,25.5,25.5,31.0,1.0
11237,4630,40.0,40.0,,,2.0,0.0
11237,4637,31.642857142857142,92.0,,,26.0,1.0
3797,4640,25.113636363636363,102.0,61.0,61.0,31.0,1.0
3797,4643,45.294117647058826,42.333333333333336,30.5,30.5,24.0,1.0
3797,4644,,,,,0.0,0.0
10215,4651,,,,,0.0,0.0
10215,4653,21.6,27.5,30.0,30.0,33.0,2.0
10215,4658,26.464285714285715,50.0,60.0,60.0,27.0,2.0
10215,4659,28.3125,24.25,,,16.0,0.0
